"","x"
"ward",0.453549974437628
"erwiederte",0.3578668200409
"fühlte",0.312599054192229
"wußte",0.301067229038855
"gefühl",0.298300102249489
"ihres",0.274696446830266
"herzen",0.274236324130879
"blick",0.271101738241309
"entgegen",0.264800613496932
"eilte",0.264675996932515
"irgend",0.261241053169734
"einst",0.25774859406953
"welchem",0.254588445807771
"hülfe",0.253984534764826
"seite",0.253882285276074
"verlassen",0.252236707566462
"lage",0.251837295501023
"mußte",0.251811733128834
"brief",0.24913726993865
"oft",0.247986963190184
"herz",0.24577581799591
"weis",0.241085122699387
"anblick",0.230537448875256
"denken",0.229307259713701
"betragen",0.226875639059305
"welchen",0.223785787321063
"selbst",0.223213829243354
"freundin",0.220242203476483
"gefühle",0.214123210633947
"verbindung",0.214001789366053
"teil",0.212186860940695
"aufmerksamkeit",0.210918328220859
"schnell",0.210423057259714
"ton",0.2094836400818
"entfernt",0.209384585889571
"einsamkeit",0.207275690184049
"erscheinung",0.206253195296524
"andenken",0.204677914110429
"fühlen",0.204323236196319
"zukunft",0.203118609406953
"vermochte",0.201645577709611
"indessen",0.200971370143149
"bitte",0.200178936605317
"elise",0.2
"welcher",0.199594197341513
"konnte",0.198178680981595
"trost",0.197648261758691
"ganz",0.197140209611452
"kennen",0.196859023517382
"dünkt",0.196095347648262
"kannte",0.195516998977505
"sorge",0.195350843558282
"tränen",0.19490350204499
"art",0.194539238241309
"vergessen",0.193769171779141
"fühle",0.191954243353783
"nie",0.191858384458078
"briefe",0.191002044989775
"entfernen",0.190580265848671
"unterhaltung",0.189219069529652
"geliebten",0.188867586912065
"seit",0.188832438650307
"möglich",0.188813266871166
"gemüt",0.187416922290389
"gedanke",0.187177275051125
"mutter",0.186793839468303
"blos",0.18575536809816
"sinn",0.184317484662577
"wünsche",0.184001150306748
"stimme",0.183908486707566
"wunsch",0.183138420245399
"glaubte",0.183132029652352
"sollte",0.182160659509202
"gesellschaft",0.181441717791411
"mannes",0.181243609406953
"vergebens",0.180972009202454
"unglücklichen",0.18043200408998
"gegenwart",0.179837678936605
"herzens",0.179722648261759
"meines",0.179614008179959
"gedanken",0.179399923312883
"blicke",0.178738496932515
"teilnahme",0.176632796523517
