"","x"
"bloß",-0.417280163599182
"nämlich",-0.340541922290389
"selber",-0.308665644171779
"ebenso",-0.300124616564417
"jedoch",-0.283981978527607
"sondern",-0.268967280163599
"worin",-0.262509585889571
"heraus",-0.253527607361963
"versetzte",-0.25230700408998
"zwei",-0.235547673824131
"indes",-0.232560071574642
"hab",-0.228962167689162
"womit",-0.226623210633947
"drei",-0.226578476482618
"oben",-0.224095731083845
"mensch",-0.219401840490798
"teufel",-0.218801124744376
"wasser",-0.215088190184049
"lust",-0.214902862985685
"wiewohl",-0.212333844580777
"desto",-0.210985429447853
"herum",-0.199015848670757
"worauf",-0.196926124744376
"damit",-0.194587167689162
"erstlich",-0.192085250511247
"wäre",-0.191225715746421
"darin",-0.190315056237219
"ungemein",-0.188615158486708
"geld",-0.188215746421268
"dergleichen",-0.187784381390593
"b",-0.179722648261759
"z",-0.176236579754601
"wollt",-0.175303553169734
"wein",-0.172811221881391
"wolte",-0.172290388548057
"ferner",-0.170168711656442
"sachen",-0.169334739263804
"also",-0.168152479550102
"hierauf",-0.168123721881391
"solte",-0.167177914110429
"hatt",-0.164960378323108
"vergnügen",-0.163656697341513
"leser",-0.161902479550102
"hinein",-0.160985429447853
"solche",-0.160442229038855
"daraus",-0.159608256646217
"konte",-0.159509202453988
"unten",-0.158943634969325
"hätt",-0.158026584867076
"vorher",-0.157735812883436
"überhaupt",-0.156684560327198
"inzwischen",-0.155585378323108
"land",-0.15515081799591
"erwiderte",-0.155147622699387
"wurde",-0.15491436605317
"kan",-0.15439672801636
"nachdem",-0.152981211656442
"essen",-0.149581416155419
"stube",-0.148140337423313
"begab",-0.148054064417178
"etwa",-0.146935710633947
"lief",-0.146507540899796
"menschen",-0.143960889570552
"herunter",-0.143820296523517
"obwohl",-0.143769171779141
"demnach",-0.142149156441718
"meister",-0.14009777607362
"zwar",-0.139858128834356
"ausgenommen",-0.139391615541922
"viele",-0.13865350204499
"zumal",-0.137893021472393
"könte",-0.137014314928425
"statt",-0.136094069529652
"gleichsam",-0.135534892638037
"gantz",-0.134458077709611
"leib",-0.132767765848671
"uhr",-0.132445040899796
"wolten",-0.131901840490798
"ers",-0.131333077709611
"mund",-0.130633307770961
"hinter",-0.13055981595092
"solches",-0.130537448875256
"ohren",-0.130537448875256
"muste",-0.129626789366053
"beständig",-0.129137908997955
"nase",-0.129080393660532
"entweder",-0.128601099182004
"gold",-0.128109023517382
"angesicht",-0.128029141104294
"wären",-0.127620143149284
"anderen",-0.126977888548057
"ordentlich",-0.126236579754601
"leute",-0.126175869120654
"etc",-0.126134330265849
"gar",-0.125722137014315
"ichs",-0.125587934560327
"kopfe",-0.124948875255624
"hinauf",-0.124568634969325
"konnt",-0.122836784253579
"feuer",-0.122491692229039
"nieder",-0.12210186605317
"volk",-0.121743992842536
"deswegen",-0.121037832310838
"sitzen",-0.119772494887526
"etliche",-0.119734151329243
"herab",-0.119714979550102
"dritte",-0.119539238241309
"ließ",-0.119529652351738
"biß",-0.118436860940695
"hingegen",-0.118382540899795
"wuste",-0.117983128834356
"sofort",-0.117983128834356
"euch",-0.117340874233129
"derowegen",-0.117075664621677
"setzt",-0.11700536809816
"haupt",-0.116589979550102
"h",-0.116334355828221
"leibe",-0.116046779141104
"sagt",-0.114998721881391
"stück",-0.114292561349693
"zweite",-0.113838829243354
"gesagt",-0.113276457055215
"zugleich",-0.112902607361963
"schiffe",-0.112353016359918
"sogar",-0.111828987730061
"reden",-0.11163726993865
"imstande",-0.110854422290389
"mithin",-0.110825664621677
"kopf",-0.110793711656442
"ten",-0.110314417177914
"rücken",-0.110260097137014
"darzu",-0.109349437627812
"sechs",-0.109243992842536
"werk",-0.109042689161554
"gesetzt",-0.108374872188139
"geheimnis",-0.108096881390593
"grösten",-0.107873210633947
"allerdings",-0.107745398773006
"schlug",-0.107355572597137
"solcher",-0.10723095603272
"samt",-0.106873082822086
"ins",-0.106579115541922
"konten",-0.105828220858896
"daher",-0.105825025562372
"tasche",-0.105569401840491
"grünen",-0.105556620654397
"vier",-0.10532336400818
"weiß",-0.105262653374233
"derselbe",-0.105217919222904
"dergestalt",-0.105173185071575
"besondere",-0.104620398773006
"habt",-0.104479805725971
"geringste",-0.10433282208589
"stücke",-0.104310455010225
"d",-0.104189033742331
"hundert",-0.104153885480573
"zeichen",-0.10410595603272
"nunmehro",-0.103783231083845
"gelehrten",-0.103208077709611
"meer",-0.103000383435583
"hund",-0.102926891615542
"gantze",-0.102760736196319
"tat",-0.102655291411043
"berge",-0.102287832310838
"herren",-0.102211145194274
"solten",-0.101738241308793
"tiere",-0.101127939672802
"hinab",-0.100610301635992
"hinten",-0.100341896728016
"dacht",-0.100198108384458
