"","x"
"gefühl",0.349818702590755
"schmerz",0.342985143065768
"zukunft",0.340011148405267
"tränen",0.327014454896225
"brust",0.323857913248891
"lage",0.318771589169313
"ach",0.308873848079617
"herzen",0.30263356626184
"treue",0.299051081645226
"meines",0.297329924340794
"entgegen",0.295878241159782
"wesen",0.295194776548362
"einst",0.295098070108909
"gemüt",0.294019087026016
"fühlte",0.292853176806536
"herzens",0.281317945781372
"welchem",0.274576746339009
"freundin",0.271145297622217
"betragen",0.270935585905199
"gefühle",0.265565662042505
"geliebten",0.265079956666822
"kind",0.264283486777839
"vaters",0.2639966272271
"sank",0.263527220689528
"ewig",0.262513432959076
"seele",0.260962870160196
"herz",0.258310505905069
"lebens",0.254059768925939
"pflicht",0.253513214554645
"auge",0.249901392029434
"ruhe",0.242256150366561
"vermochte",0.237788095545962
"stimmung",0.236941642553441
"blick",0.234238208605569
"erwiederte",0.23319073660969
"vergangenheit",0.232701771466385
"verhältniß",0.231137083007809
"bild",0.230017896124245
"welchen",0.225272761055774
"brief",0.224729466452102
"dasein",0.224062300678792
"ihres",0.22393625633074
"o",0.220969867794691
"innern",0.219526877327338
"ton",0.219223718938489
"freude",0.218558726343595
"eilte",0.218439201530787
"mannes",0.217130948125145
"seit",0.216493120260434
"indeß",0.216207347298902
"briefe",0.215721641923219
"andenken",0.215050129793081
"anblick",0.213515865832311
"unsrer",0.213473488853225
"schmerzlich",0.21215002319868
"unsre",0.211822959847269
"geliebte",0.210134400219056
"sinn",0.209574806777274
"blos",0.209191240787082
"opfer",0.208752258747315
"sehnsucht",0.207168011683007
"stille",0.206697518556227
"trost",0.206356329545121
"irgend",0.201110276852064
"nie",0.199873738334107
"schwester",0.199145723565186
"tochter",0.196202153402491
"deren",0.195766431130346
"wunsch",0.192638140802403
"fühlen",0.192001399526899
"gedanke",0.191873182000432
"schicksal",0.190012941277459
"tief",0.189430529462323
"jedem",0.188870936020541
"wünsche",0.188312429167966
"einsamkeit",0.187443157802091
"arme",0.186909642501285
"liebe",0.186155549591388
"ueberzeugung",0.185781762904062
"mut",0.184879893861966
"eindruck",0.184620199041411
"freundes",0.184138840022558
"schonung",0.18393347466237
"kraft",0.183878058612795
"güte",0.182872963596002
"achtung",0.181362604597794
"fühle",0.181044233960042
"wehmut",0.180555268816737
"mutter",0.178856929885658
"teilnahme",0.178543992193943
"loos",0.178272344892107
"unwillkührlich",0.177581274156236
"nähe",0.177246604680374
"jugend",0.175630846529054
"kindheit",0.175612374512529
"leise",0.175580863425516
"züge",0.175301609999229
"stimme",0.17520707673819
"fest",0.174900658581719
"bestimmt",0.174761575163179
"verbindung",0.17386079271029
"stillen",0.172913286921486
"trennung",0.171407274280107
"zügen",0.171162791708455
"entschluß",0.170948733634608
"gegenwart",0.170944387277779
"dein",0.170113146534161
"lippen",0.169317763234385
"erhielt",0.168552804432415
"ernst",0.16813338099838
"schweigend",0.167120679857135
"gestalt",0.166937046281094
"nachricht",0.166712122315174
"vater",0.166474159278766
"leiden",0.165865669322653
"bewegt",0.165699421173929
"tagen",0.165108316645134
"jetzt",0.164722577476527
"gott",0.164035853097486
"freuden",0.163609910128207
"lächeln",0.162985121333984
"weib",0.162911233267884
