"","x"
"bloß",-0.311470796285169
"leute",-0.26230698100968
"ebenso",-0.245702811332256
"drei",-0.236955768213137
"wasser",-0.227709980647846
"dabei",-0.225618296423709
"kapitel",-0.21721461549411
"ins",-0.214078719041715
"womit",-0.21157304432958
"herum",-0.211398103467198
"nämlich",-0.209976844783991
"hab",-0.20767436225363
"leser",-0.200727797451079
"damit",-0.199790070965141
"erwiderte",-0.196895397316777
"stück",-0.187584414399046
"solche",-0.183636835808765
"setzte",-0.180643282542532
"versetzte",-0.17945781371732
"darauf",-0.179110105170969
"desto",-0.178270171713692
"weiter",-0.176632681778225
"darüber",-0.175917706079793
"essen",-0.175788401964119
"worin",-0.175353766281181
"zwei",-0.174858281602632
"wovon",-0.174514919413111
"große",-0.170850940605947
"teufel",-0.170635795942893
"selber",-0.170554301752342
"ungefähr",-0.169762178220189
"groß",-0.16505290059556
"großer",-0.16475408856354
"gerne",-0.164372695751762
"vergnügen",-0.163907635571019
"dergleichen",-0.163713136102904
"gar",-0.160534862671423
"sondern",-0.158694180554182
"obgleich",-0.157997676872275
"indes",-0.15710776031146
"vier",-0.157069729689203
"wollt",-0.154025106730225
"viele",-0.153409010649661
"ende",-0.15226374562512
"fertig",-0.151431418292295
"andere",-0.149953656970307
"geld",-0.149933011775367
"sechs",-0.149420141669501
"wodurch",-0.14796411213166
"vielen",-0.147914129028122
"geheimnis",-0.147905436314463
"kunst",-0.147766352895923
"kurz",-0.147358881943169
"deswegen",-0.145568182929466
"davon",-0.144203426885042
"darin",-0.144128452229735
"nunmehr",-0.143929606404791
"herr",-0.143026650773489
"land",-0.141340264323691
"ohren",-0.14109904151966
"worauf",-0.141017547329109
"soviel",-0.139041041560951
"etwa",-0.13889000566113
"meister",-0.138722670923199
"herren",-0.138490140832827
"anderer",-0.138416252766728
"lust",-0.136424534749666
"ans",-0.135329252828663
"hierauf",-0.135255364762564
"dazu",-0.135016315136948
"heißt",-0.13423831726449
"oben",-0.13408293500784
"solcher",-0.13225420537188
"personen",-0.131990164194495
"gesetzt",-0.131962999464312
"beiden",-0.130710162108244
"jedoch",-0.130669958307572
"unten",-0.130630841096108
"wer",-0.129448632038517
"dafür",-0.128554369120873
"singen",-0.128308799960014
"wären",-0.127692703879449
"entweder",-0.127101599350654
"hätt",-0.126406182257954
"setzten",-0.126270358607036
"nötig",-0.125447810577077
"worden",-0.124920814811515
"inzwischen",-0.124530729286078
"übrigen",-0.124275380822352
"kommt",-0.123056227731712
"habt",-0.122822611052133
"itzt",-0.12270960577457
"nase",-0.1222554114859
"großen",-0.120564678679273
"dagegen",-0.119875781121816
"tot",-0.119797546698888
"kopf",-0.119228173954239
"wein",-0.118671840280079
"seht",-0.118605558338431
"kopfe",-0.118543622753613
"euch",-0.117251668186081
"hoch",-0.116990886776318
"dadurch",-0.116987627008696
"also",-0.116759443275154
"herrn",-0.116735538312592
"solange",-0.116283517202337
"leib",-0.115848881519399
"gute",-0.115466402118414
"hundert",-0.115150204659077
"alsdann",-0.113864769626789
"eher",-0.11243264505151
"not",-0.112284868919311
"besser",-0.110674543714027
"liebhaber",-0.110160587018953
"sagt",-0.110068226936329
"diejenigen",-0.109640110788636
"ursache",-0.109264150922895
"tafel",-0.109077257579231
"kamen",-0.108748021049406
"gehört",-0.107987408604265
"fuß",-0.107722280837673
"buch",-0.107702722231941
"wozu",-0.107314809884919
"hätten",-0.106985573355094
"gesagt",-0.106810632492712
"solchen",-0.106104349507938
"übel",-0.105940274537629
"unsere",-0.105781632513357
"getan",-0.104853685330285
"gerade",-0.104846079205834
"leibe",-0.104778710674978
"kommen",-0.104699389662842
"ferner",-0.104371239722224
"kleider",-0.103287910282502
"seien",-0.102468622020165
"daher",-0.10138637916965
"sagten",-0.100566004318106
"stube",-0.100464951521823
"größte",-0.100368245082369
