"","x"
"leser",-0.312501527557131
"leute",-0.309910790663571
"ebenso",-0.265672736160332
"bloß",-0.260491262373213
"herr",-0.23524379811805
"womit",-0.23466943663693
"nachdem",-0.234412807038983
"herrn",-0.231675424660882
"nämlich",-0.226909446413296
"drei",-0.225809605279237
"also",-0.220163754124404
"vergnügen",-0.216754246608823
"solche",-0.216742026151778
"worin",-0.2156910668459
"zwei",-0.21053403397287
"sache",-0.206928999144568
"geld",-0.206684590003666
"kapitel",-0.20650128314799
"ins",-0.202871807405597
"damit",-0.188097274838079
"antwortete",-0.184699987779543
"vier",-0.184590003666137
"hätten",-0.180667236954662
"gewissen",-0.179347427593792
"dazu",-0.174068190150312
"sechs",-0.173273860442381
"essen",-0.172992789930343
"versetzte",-0.170951973603813
"kurz",-0.170267628009288
"herren",-0.168825614077967
"erwiderte",-0.16859342539411
"sachen",-0.168214591225712
"ehre",-0.165904924844189
"solcher",-0.163546376634486
"teufel",-0.162263228644751
"zugleich",-0.159342539410974
"wovon",-0.15887816204326
"geheimnis",-0.158059391421239
"solchen",-0.156825125259685
"ohren",-0.156715141146279
"jedoch",-0.156153000122205
"unterdessen",-0.155126481730417
"inzwischen",-0.154710986190884
"habt",-0.153403397287059
"kopf",-0.15227911523891
"gehabt",-0.15223023341073
"nötig",-0.152059147012098
"deswegen",-0.149749480630576
"desto",-0.149725039716485
"davon",-0.149407307833313
"gute",-0.148564096297202
"person",-0.148429671269705
"dadurch",-0.147488696077233
"wurde",-0.146217768544544
"gewisse",-0.145900036661371
"könig",-0.144959061468899
"hab",-0.144421361358915
"selber",-0.144250274960284
"diejenigen",-0.143700354393254
"wasser",-0.143663693022119
"dergleichen",-0.143321520224856
"herum",-0.140669681046071
"sondern",-0.140290846877673
"wären",-0.139936453623366
"wollt",-0.137834535011609
"geringste",-0.134999388977148
"rücken",-0.134535011609434
"euch",-0.133850666014909
"tat",-0.133337406819015
"beiden",-0.133312965904925
"wein",-0.132824147623121
"absicht",-0.132396431626543
"darin",-0.131919833801784
"leuten",-0.131895392887694
"zweiten",-0.131883172430649
"land",-0.13143101551998
"hierauf",-0.129145790052548
"worauf",-0.129072467310277
"nase",-0.128938042282781
"meinung",-0.128571428571429
"gebracht",-0.127007210069657
"sagte",-0.126665037272394
"vielen",-0.125956250763779
"oben",-0.125724062079922
"stück",-0.125687400708787
"werk",-0.125626298423561
"kommt",-0.125284125626298
"d",-0.125137480141757
"gesagt",-0.125064157399487
"dabei",-0.125015275571306
"gesetzt",-0.124844189172675
"bekommen",-0.12478308688745
"kerl",-0.124477575461322
"gesetze",-0.123646584382256
"guten",-0.123548820725895
"nunmehr",-0.122901136502505
"sagt",-0.12219234999389
"gnaden",-0.121996822681168
"fügte",-0.121764633997312
"hundert",-0.12161798851277
"vielmehr",-0.12161798851277
"wiewohl",-0.121263595258463
"de",-0.120567029206892
"setzen",-0.120469265550532
"dienste",-0.120114872296224
"ursache",-0.119846022241232
"glückseligkeit",-0.119393865330563
"dienst",-0.118807283392399
"heißt",-0.118660637907858
"hilfe",-0.118562874251497
"zehn",-0.118342906024685
"zunge",-0.117218623976537
"ans",-0.116900892093364
"daraus",-0.116876451179274
"kopfe",-0.116656482952462
"getan",-0.115177807650006
"indes",-0.115080043993645
"verlangen",-0.114798973481608
"menschlichen",-0.114187950629354
"miene",-0.114126848344128
"fünf",-0.11374801417573
"gelegenheit",-0.113356959550287
"ungefähr",-0.112929243553709
"zwanzig",-0.112110472931688
"personen",-0.11178052059147
"leib",-0.111450568251253
"besser",-0.111230600024441
"anderen",-0.110900647684223
"gerne",-0.110118538433337
"bereits",-0.109678601979714
"junker",-0.109336429182451
"großes",-0.108261028962483
"wurden",-0.108138824392032
"vorher",-0.107038983257974
"sofort",-0.107026762800929
"anstatt",-0.106819015031162
"ende",-0.106415739948674
"charakter",-0.106183551264817
"geringsten",-0.106061346694366
"bezahlen",-0.106000244409141
"niemals",-0.105401442013931
"bisher",-0.104154955395332
"verschiedenen",-0.104057191738971
"worden",-0.104008309910791
"begab",-0.103690578027618
"gleichsam",-0.103678357570573
"don",-0.103323964316265
"tafel",-0.102908468776732
"vorteile",-0.102651839178785
"ah",-0.10259073689356
"werke",-0.102578516436515
"fuß",-0.102163020896982
"darauf",-0.102028595869485
"seid",-0.101674202615178
"tun",-0.101576438958817
"trinken",-0.101564218501772
"verschiedene",-0.101466454845411
"sowie",-0.101258707075645
"gleichfalls",-0.101075400219968
"mittel",-0.101038738848833
"größten",-0.100745447879751
"solange",-0.100684345594525
"erlaubnis",-0.100171086398631
